Alpestre;186;139;374;476;538;477;1187;961
Ametista do Sul;607;357;370;287;1991;1177;1120;480
Barra Funda;6;9;74;233;22;32;262;668
Boa Vista das Missões;108;50;101;115;330;175;318;247
Caiçara;213;87;144;344;707;326;435;514
Cerro Grande;196;66;123;132;631;217;390;281
Chapada;142;90;297;471;411;336;959;1095
Constantina;215;223;320;526;698;763;963;943
Cristal do Sul;363;91;140;209;1053;269;367;322
Dois Irmãos das Missões;121;59;130;203;377;199;405;370
Engenho Velho;143;27;54;88;553;110;209;176
Erval Seco;549;313;391;520;1787;948;1125;858
Frederico Westphalen;944;616;870;435;2921;2147;2653;801
Gramado dos Loureiros;269;59;107;102;832;212;316;176
Iraí;786;307;320;432;2117;950;848;715
Jaboticaba;470;123;167;196;1327;392;474;348
Lajeado do Bugre;326;47;106;61;1031;153;302;111
Liberato Salzano;419;160;279;160;1399;504;765;322
Nonoai;770;500;613;829;2336;1639;1683;1334
Nova Boa Vista;28;5;26;54;79;18;81;134
Novo Barreiro;159;109;220;226;486;347;685;538
Novo Tiradentes;201;24;76;111;643;70;220;199
Novo Xingu;43;46;87;172;128;142;266;364
Palmeira das Missões;1446;1172;1571;1051;4530;3957;4596;1804
Palmitinho;662;142;163;69;2055;476;511;145
Pinhal;85;34;105;280;255;107;344;709
Pinheirinho do Vale;419;79;181;175;1288;271;519;306
Planalto;629;408;532;402;2019;1279;1600;873
Rio dos Índios;344;127;116;149;985;356;311;234
Rodeio Bonito;306;87;280;332;949;277;863;667
Ronda Alta;517;268;427;359;1676;894;1348;711
Rondinha;101;62;82;217;308;214;280;593
Sagrada Família;208;58;152;102;597;203;445;186
São José das Missões;295;46;99;90;934;154;292;183
São Pedro das Missões;169;50;93;95;569;148;263;211
Sarandi;919;450;585;413;2784;1498;1732;758
Seberi;1341;230;321;513;3693;720;843;670
Taquaruçu do Sul;88;26;121;223;281;98;411;508
Três Palmeiras;255;118;209;358;801;418;645;674
Trindade do Sul;710;143;197;218;2100;474;577;306
Vicente Dutra;374;140;175;167;1179;515;542;284
Vista Alegre;77;54;118;192;230;190;397;368
