Alpestre;8027;2010-01-01;3163;2015-04-01;1175;2015-04-01;340;43044;2015-07-01;238;105;2015-06-01;0.671;2010-01-01;13431.28;2010-01-01
Ametista do Sul;7323;2010-01-01;4768;2015-04-01;1621;2015-04-01;704;98052;2015-07-01;119;87;2015-06-01;0.682;2010-01-01;9243.94;2010-01-01
Barra Funda;2367;2010-01-01;984;2015-04-01;322;2015-04-01;13;1592;2015-07-01;81;1;2015-06-01;0.763;2010-01-01;;2010-01-01
Boa Vista das Missões;2114;2010-01-01;1070;2015-04-01;374;2015-04-01;129;18712;2015-07-01;23;14;2015-06-01;0.676;2010-01-01;;2010-01-01
Cerro Grande;2417;2010-01-01;1519;2015-04-01;517;2015-04-01;212;35803;2015-07-01;27;16;2015-06-01;0.674;2010-01-01;;2010-01-01
Chapada;9377;2010-01-01;2801;2015-04-01;1000;2015-04-01;245;36213;2015-07-01;87;14;2015-06-01;0.757;2010-01-01;;2010-01-01
Constantina;9741;2010-01-01;3367;2015-04-01;1284;2015-04-01;396;52984;2015-07-01;97;25;2015-06-01;0.754;2010-01-01;;2010-01-01
Cristal do Sul;2826;2010-01-01;2011;2015-04-01;803;2015-04-01;336;43854;2015-07-01;169;99;2015-06-01;0.66;2010-01-01;12651.73;2010-01-01
Dois Irmãos das Missões;2157;2010-01-01;1351;2015-04-01;513;2015-04-01;177;24699;2015-07-01;4;2;2015-06-01;0.67;2010-01-01;25947.83;2010-01-01
Engenho Velho;1530;2010-01-01;1048;2015-04-01;312;2015-04-01;135;37292;2015-07-01;0;0;2015-06-01;0.717;2010-01-01;;2010-01-01
Erval Seco;7878;2010-01-01;4718;2015-04-01;1773;2015-04-01;699;104092;2015-07-01;132;55;2015-06-01;0.685;2010-01-01;15285.94;2010-01-01
Frederico Westphalen;28848;2010-01-01;8522;2015-04-01;2865;2015-04-01;1032;151347;2015-07-01;44;23;2015-06-01;0.76;2010-01-01;25036.19;2010-01-01
Gramado dos Loureiros;2269;2010-01-01;1536;2015-04-01;537;2015-04-01;234;38696;2015-07-01;29;19;2015-06-01;0.685;2010-01-01;11921.55;2010-01-01
Iraí;8078;2010-01-01;4630;2015-04-01;1845;2015-04-01;858;125696;2015-07-01;336;206;2015-06-01;0.691;2010-01-01;10930.75;2010-01-01
Jaboticaba;4111;2010-01-01;2541;2015-04-01;956;2015-04-01;507;67172;2015-07-01;302;231;2015-06-01;0.658;2010-01-01;;2010-01-01
Lajeado do Bugre;2487;2010-01-01;1597;2015-04-01;540;2015-04-01;262;36806;2015-07-01;4;1;2015-06-01;0.613;2010-01-01;;2010-01-01
Liberato Salzano;5780;2010-01-01;2990;2015-04-01;1018;2015-04-01;400;60359;2015-07-01;3;1;2015-06-01;0.685;2010-01-01;;2010-01-01
Nonoai;12076;2010-01-01;6992;2015-04-01;2712;2015-04-01;901;128528;2015-07-01;2;0;2015-06-01;0.702;2010-01-01;18344.47;2010-01-01
Nova Boa Vista;1960;2010-01-01;312;2015-04-01;113;2015-04-01;20;2841;2015-07-01;3;0;2015-06-01;0.768;2010-01-01;;2010-01-01
Novo Barreiro;3978;2010-01-01;2056;2015-04-01;714;2015-04-01;257;31839;2015-07-01;388;147;2015-06-01;0.706;2010-01-01;;2010-01-01
Novo Tiradentes;2277;2010-01-01;1132;2015-04-01;412;2015-04-01;177;29907;2015-07-01;1;0;2015-06-01;0.676;2010-01-01;13181.58;2010-01-01
Novo Xingu;1757;2010-01-01;900;2015-04-01;348;2015-04-01;55;7408;2015-07-01;10;11;2015-06-01;0.767;2010-01-01;;2010-01-01
Palmeira das Missões;34335;2010-01-01;14887;2015-04-01;5240;2015-04-01;1985;260001;2015-07-01;175;76;2015-06-01;0.737;2010-01-01;;2010-01-01
Palmitinho;6920;2010-01-01;3187;2015-04-01;1036;2015-04-01;496;81316;2015-07-01;2;1;2015-06-01;0.72;2010-01-01;12455.09;2010-01-01
